Category,Type,Issue Message,Severity,Affected Pages Count,URLs
Technical,Redirects,Redirect chain ends in 404,CRITICAL,9,https://www.sssdynamics.com/wp-content/uploads/solution-story-reworld-hillsborough-190-ft-long.pdf | https://www.sssdynamics.com/wp-content/uploads/equipment_audit-1.pdf | https://www.sssdynamics.com/wp-content/uploads/industrial-slipstick-brochure.pdf | https://www.sssdynamics.com/wp-content/uploads/sanitary-slipstick-brochure.pdf | https://www.sssdynamics.com/wp-content/uploads/corporate-brochure.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/the-wonder-of-the-age-brochure.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/the-proof-of-the-pudding.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/edwin-steele-1896.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/gj-article.pdf
Technical,Noindex,Page has noindex directive,CRITICAL,4,https://www.sssdynamics.com/cdn-cgi/l/email-protection | https://www.sssdynamics.com/oem-parts-and-service/equipment-audit | https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-sanitary-conveyor | https://www.sssdynamics.com/category/uncategorized
On-Page,Meta Description,Missing meta description,HIGH,51,https://www.sssdynamics.com/resources/videos | https://www.sssdynamics.com/cdn-cgi/l/email-protection | https://www.sssdynamics.com/resources/case-studies | https://www.sssdynamics.com/test-results/separation-of-zinc-and-vermiculite | https://www.sssdynamics.com/equipment/vibratory-conveyors/gates-and-covers | https://www.sssdynamics.com/solutions/high-capacity-potash-screening-success-in-the-middle-east | https://www.sssdynamics.com/test-results/separate-aluminum-and-copper | https://www.sssdynamics.com/resources/events | https://www.sssdynamics.com/solutions/triple-s-test-results-separating-rubber-from-sand | https://www.sssdynamics.com/wp-content/uploads/solution-story-reworld-hillsborough-190-ft-long.pdf | https://www.sssdynamics.com/solutions/conveying-washed-dewatered-beans | https://www.sssdynamics.com/solutions/old-dutch-foods | https://www.sssdynamics.com/solutions/wellness-pet-company | https://www.sssdynamics.com/solutions/all-new-production-line-for-recycling-communication-wire | https://www.sssdynamics.com/test-results/basic-copper-chloride | https://www.sssdynamics.com/solutions/slipstick-industrial-for-conveying-wet-cake-flakes | https://www.sssdynamics.com/solutions/conveying-hot-ash-from-ash-dischargers | https://www.sssdynamics.com/test-results/test-to-validate-screen-size | https://www.sssdynamics.com/test-results/screening-performance-of-texas-shaker | https://www.sssdynamics.com/solutions/screening-alfalfa-cubes-with-texas-shaker | https://www.sssdynamics.com/wp-content/uploads/equipment_audit-1.pdf | https://www.sssdynamics.com/solutions/conveying-bottom-ash | https://www.sssdynamics.com/test-results/remove-mesh-fines-from-hickory-wood-chips | https://www.sssdynamics.com/wp-content/uploads/industrial-slipstick-brochure.pdf | https://www.sssdynamics.com/wp-content/uploads/sanitary-slipstick-brochure.pdf | https://www.sssdynamics.com/wp-content/uploads/corporate-brochure.pdf | https://www.sssdynamics.com/test-results/conveying-potassium-chloride | https://www.sssdynamics.com/test-results/screening-coke-from-gravel | https://www.sssdynamics.com/test-results/mesh-ground-limestone | https://www.sssdynamics.com/test-results/removing-stones-from-pea-and-pinto-beans | https://www.sssdynamics.com/solutions/separating-tree-seeds | https://www.sssdynamics.com/wp-content/themes/va/pdf/the-wonder-of-the-age-brochure.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/the-proof-of-the-pudding.pdf | https://www.sssdynamics.com/solutions/conveying-cooked-meats | https://www.sssdynamics.com/test-results/whole-blanched-almonds | https://www.sssdynamics.com/wp-content/themes/va/pdf/edwin-steele-1896.pdf | https://www.sssdynamics.com/test-results/test-travel-rate-of-rock-wool | https://www.sssdynamics.com/wp-content/themes/va/pdf/gj-article.pdf | https://www.sssdynamics.com/dry-separations-processing-industry | https://www.sssdynamics.com/genius-action-gravity-separators-work-part | https://www.sssdynamics.com/category/uncategorized | https://www.sssdynamics.com/genius-action-gravity-separators-work-part-ii | https://www.sssdynamics.com/transporting-hard-handle-materials-horizontal-motion-conveyor | https://www.sssdynamics.com/test-results/differences-of-sutton-stoner-air-and-slope-settings | https://www.sssdynamics.com/answers-12-common-questions-horizontal-motion-conveyors | https://www.sssdynamics.com/vibrating-conveyor-incinerator-ash-handling-systems | https://www.sssdynamics.com/considering-total-cost-ownership-capital-equipment | https://www.sssdynamics.com/test-results/separation-evaluation-of-copper-aluminum-concentrate | https://www.sssdynamics.com/test-results/separating-soybeans-from-weed-seed | https://www.sssdynamics.com/test-results/conveying-chocolate-chips-and-chocolate-candy-pieces | https://www.sssdynamics.com/test-results/removing-sand-from-tea-leaves
Technical,Canonical,Missing canonical tag,HIGH,13,https://www.sssdynamics.com/cdn-cgi/l/email-protection | https://www.sssdynamics.com/oem-parts-and-service/equipment-audit | https://www.sssdynamics.com/wp-content/uploads/solution-story-reworld-hillsborough-190-ft-long.pdf | https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-sanitary-conveyor | https://www.sssdynamics.com/wp-content/uploads/equipment_audit-1.pdf | https://www.sssdynamics.com/wp-content/uploads/industrial-slipstick-brochure.pdf | https://www.sssdynamics.com/wp-content/uploads/sanitary-slipstick-brochure.pdf | https://www.sssdynamics.com/wp-content/uploads/corporate-brochure.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/the-wonder-of-the-age-brochure.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/the-proof-of-the-pudding.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/edwin-steele-1896.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/gj-article.pdf | https://www.sssdynamics.com/category/uncategorized
On-Page,Title,"Title too short (13 chars, recommended: 30-70)",HIGH,9,https://www.sssdynamics.com/wp-content/uploads/solution-story-reworld-hillsborough-190-ft-long.pdf | https://www.sssdynamics.com/wp-content/uploads/equipment_audit-1.pdf | https://www.sssdynamics.com/wp-content/uploads/industrial-slipstick-brochure.pdf | https://www.sssdynamics.com/wp-content/uploads/sanitary-slipstick-brochure.pdf | https://www.sssdynamics.com/wp-content/uploads/corporate-brochure.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/the-wonder-of-the-age-brochure.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/the-proof-of-the-pudding.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/edwin-steele-1896.pdf | https://www.sssdynamics.com/wp-content/themes/va/pdf/gj-article.pdf
Technical,Redirects,Redirect chain too long (3 hops),HIGH,2,https://www.sssdynamics.com/solutions-center/conveying-incinerator-ash | https://www.sssdynamics.com/solutions-center/scalping-barley
On-Page,Title,"Title too short (29 chars, recommended: 30-70)",HIGH,1,https://www.sssdynamics.com/cdn-cgi/l/email-protection
On-Page,Internal Links,1 potentially broken internal link(s),MEDIUM,37,https://www.sssdynamics.com/equipment/vibratory-conveyors/slipstick-sanitary | https://www.sssdynamics.com/solutions/accumulating-fragile-baked-crackers-prior-to-packaging | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4794 | https://www.sssdynamics.com/solutions/old-dutch-foods | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4800 | https://www.sssdynamics.com/solutions/wellness-pet-company | https://www.sssdynamics.com/solutions/all-new-production-line-for-recycling-communication-wire | https://www.sssdynamics.com/solutions/slipstick-industrial-for-conveying-wet-cake-flakes | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4795 | https://www.sssdynamics.com/solutions/mississippi-lime-company | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_bulk_material=4721 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4722 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4738 | https://www.sssdynamics.com/solutions/screening-alfalfa-cubes-with-texas-shaker | https://www.sssdynamics.com/resources/case-studies/recycle-reuse-renew-existing-slipstick | https://www.sssdynamics.com/resources/case-studies/maximize-line-yields-reduce-product-degradation | https://www.sssdynamics.com/triple-s-dynamics-at-petfood-forum-2024 | https://www.sssdynamics.com/resources/case-studies/slipstick-conveyor-increases-line-yields | https://www.sssdynamics.com/resources/case-studies/slipstick-alterations-increase-productivity-no-parts-cost-customer | https://www.sssdynamics.com/resources/case-studies/dewatering-problem-solved-mass-burn-incinerators | https://www.sssdynamics.com/resources/case-studies/slipstick-conveyor-solves-maintenance-dust-control-problems | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4788 | https://www.sssdynamics.com/resources/?fwp_equipment_category=density-separation | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4742 | https://www.sssdynamics.com/dry-separations-processing-industry | https://www.sssdynamics.com/lab-test-request | https://www.sssdynamics.com/slipstick-conveyor-quote-request | https://www.sssdynamics.com/texas-shaker-screener-quote-request | https://www.sssdynamics.com/conveyor-price-puzzle-little-roi-side | https://www.sssdynamics.com/transporting-hard-handle-materials-horizontal-motion-conveyor | https://www.sssdynamics.com/answers-12-common-questions-horizontal-motion-conveyors | https://www.sssdynamics.com/vibrating-conveyor-incinerator-ash-handling-systems | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4746 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4742 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4780 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4799 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4768
On-Page,Image Alt,2 image(s) missing alt text,MEDIUM,34,https://www.sssdynamics.com/equipment/vibratory-conveyors | https://www.sssdynamics.com/equipment | https://www.sssdynamics.com/equipment/density-separation | https://www.sssdynamics.com/test-results/separate-aluminum-and-copper | https://www.sssdynamics.com/solutions-center/conveying-and-accumulating-snack-crackers | https://www.sssdynamics.com/solutions/conveying-washed-dewatered-beans | https://www.sssdynamics.com/solutions/slipstick-industrial-for-conveying-wet-cake-flakes | https://www.sssdynamics.com/solutions/screening-alfalfa-cubes-with-texas-shaker | https://www.sssdynamics.com/solutions/conveying-bottom-ash | https://www.sssdynamics.com/resources/?fwp_equipment_category=mechanical-conveying | https://www.sssdynamics.com/solutions/screening-potash | https://www.sssdynamics.com/resources/case-studies/recycle-reuse-renew-existing-slipstick | https://www.sssdynamics.com/triple-s-dynamics-at-petfood-forum-2024 | https://www.sssdynamics.com/test-results/conveying-potassium-chloride | https://www.sssdynamics.com/resources/case-studies/slipstick-alterations-increase-productivity-no-parts-cost-customer | https://www.sssdynamics.com/resources/case-studies/dewatering-problem-solved-mass-burn-incinerators | https://www.sssdynamics.com/resources/case-studies/slipstick-conveyor-solves-maintenance-dust-control-problems | https://www.sssdynamics.com/solutions/separating-tree-seeds | https://www.sssdynamics.com/test-results/whole-blanched-almonds | https://www.sssdynamics.com/dry-separations-processing-industry | https://www.sssdynamics.com/genius-action-gravity-separators-work-part | https://www.sssdynamics.com/resources/?fwp_product_type=vibratory-conveyors | https://www.sssdynamics.com/genius-action-gravity-separators-work-part-ii | https://www.sssdynamics.com/conveyor-price-puzzle-little-roi-side | https://www.sssdynamics.com/transporting-hard-handle-materials-horizontal-motion-conveyor | https://www.sssdynamics.com/solutions-center/cleaning-corn | https://www.sssdynamics.com/test-results/differences-of-sutton-stoner-air-and-slope-settings | https://www.sssdynamics.com/answers-12-common-questions-horizontal-motion-conveyors | https://www.sssdynamics.com/vibrating-conveyor-incinerator-ash-handling-systems | https://www.sssdynamics.com/considering-total-cost-ownership-capital-equipment | https://www.sssdynamics.com/resources/?fwp_product_type=sutton-stoners | https://www.sssdynamics.com/solutions-center/scalping-corn | https://www.sssdynamics.com/test-results/removing-sand-from-tea-leaves | https://www.sssdynamics.com/solutions/conveying-dusty-ceramic-parts
On-Page,Title,"Title too long (71 chars, recommended: 30-70)",MEDIUM,33,https://www.sssdynamics.com/solutions-center/?fwp_content_type=solutions | https://www.sssdynamics.com/solutions-center | https://www.sssdynamics.com/equipment | https://www.sssdynamics.com/solutions-center/?fwp_content_type=test_results | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_bulk_material=4748 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4751 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4794 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4800 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4744 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4784 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4795 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_bulk_material=4721 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4801 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4722 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-sanitary&fwp_industry=food&fwp_bulk_material=4738 | https://www.sssdynamics.com/solutions-center/conveying-incinerator-ash | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4788 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4734 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4731 | https://www.sssdynamics.com/solutions-center/?fwp_product_type=slipstick-industrial&fwp_bulk_material=4742 | https://www.sssdynamics.com/solutions-center/scalping-barley | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4795 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4746 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4742 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4780 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4799 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4741 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4810 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4786 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4768 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=4784 | https://www.sssdynamics.com/solutions-center/?fwp_bulk_material=5678
